Route_name,Route_link
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
Lucknow to Allahabad,https://www.redbus.in/bus-tickets/lucknow-to-allahabad
Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
Delhi to Farrukhabad (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up
Farrukhabad (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi
Badaun to Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi
Allahabad to Lucknow,https://www.redbus.in/bus-tickets/allahabad-to-lucknow
Lucknow to Agra,https://www.redbus.in/bus-tickets/lucknow-to-agra
Sitapur (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/sitapur-to-delhi
Delhi to Badaun,https://www.redbus.in/bus-tickets/delhi-to-badaun
Delhi to Sitapur (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-sitapur
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi
Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow
Agra to Lucknow,https://www.redbus.in/bus-tickets/agra-to-lucknow
Lucknow to Varanasi,https://www.redbus.in/bus-tickets/lucknow-to-varanasi
Agra to Bareilly,https://www.redbus.in/bus-tickets/agra-to-bareilly
